Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 93,Pakistan,West Indies,West Indies,4 wickets,Karachi,21-Nov-80,Australia,Second,First
ODI # 94,Australia,New Zealand,New Zealand,3 wickets,Adelaide,23-Nov-80,Australia,First,Second
ODI # 95,Australia,New Zealand,Australia,94 runs,Sydney,25-Nov-80,Australia,Second,First
ODI # 96,Pakistan,West Indies,West Indies,7 wickets,Sialkot,5-Dec-80,Pakistan,Second,First
ODI # 97,Australia,India,India,66 runs,Melbourne,6-Dec-80,Australia,First,Second
ODI # 98,Australia,New Zealand,Australia,4 wickets,Melbourne,7-Dec-80,Australia,First,Second
ODI # 99,India,New Zealand,India,5 runs,Perth,9-Dec-80,Australia,Second,First
ODI # 100,Australia,India,Australia,9 wickets,Sydney,18-Dec-80,Australia,First,Second
ODI # 101,Pakistan,West Indies,West Indies,7 runs,Lahore,19-Dec-80,Australia,Second,First
ODI # 102,India,New Zealand,New Zealand,3 wickets,Brisbane,21-Dec-80,Australia,Second,First
ODI # 103,India,New Zealand,India,6 runs,Adelaide,23-Dec-80,Australia,First,Second
ODI # 104,Australia,India,Australia,9 wickets,Sydney,8-Jan-81,Australia,Second,First
ODI # 105,India,New Zealand,New Zealand,10 wickets,Melbourne,10-Jan-81,Australia,Second,First
ODI # 106,Australia,India,Australia,7 wickets,Melbourne,11-Jan-81,Australia,Second,First
ODI # 107,Australia,New Zealand,New Zealand,1 run,Sydney,13-Jan-81,Australia,First,Second
ODI # 108,Australia,India,Australia,27 runs,Sydney,15-Jan-81,Australia,Second,First
ODI # 109,India,New Zealand,New Zealand,22 runs,Brisbane,18-Jan-81,West Indies,First,Second
ODI # 110,Australia,New Zealand,no result,,Sydney,21-Jan-81,New Zealand,First,Second
ODI # 111,Australia,New Zealand,New Zealand,78 runs,Sydney,29-Jan-81,New Zealand,First,Second
ODI # 112,Australia,New Zealand,Australia,7 wickets,Melbourne,31-Jan-81,West Indies,Second,First
ODI # 113,Australia,New Zealand,Australia,6 runs,Melbourne,1-Feb-81,England,Second,First
ODI # 114,Australia,New Zealand,Australia,6 wickets,Sydney,3-Feb-81,England,Second,First
ODI # 115,West Indies,England,West Indies,2 runs,Kingstown,4-Feb-81,England,Second,First
ODI # 116,New Zealand,India,New Zealand,78 runs,Auckland,14-Feb-81,Australia,Second,First
ODI # 117,New Zealand,India,New Zealand,57 runs,Hamilton,15-Feb-81,Australia,First,Second
ODI # 118,West Indies,England,West Indies,6 wickets,Albion,26-Feb-81,Australia,Second,First
ODI # 119,England,Australia,England,6 wickets,Lord's,4-Jun-81,India,First,Second
ODI # 120,England,Australia,Australia,2 runs,Birmingham,6-Jun-81,Australia,First,Second
ODI # 121,England,Australia,Australia,71 runs,Leeds,8-Jun-81,Australia,First,Second
ODI # 122,Pakistan,West Indies,West Indies,18 runs,Melbourne,21-Nov-81,Australia,First,Second
ODI # 123,Australia,Pakistan,Pakistan,4 wickets,Melbourne,22-Nov-81,Australia,First,Second
ODI # 124,Australia,West Indies,Australia,7 wickets,Sydney,24-Nov-81,Australia,First,Second
ODI # 125,India,England,England,5 wickets,Ahmedabad,25-Nov-81,India,Second,First
ODI # 126,Pakistan,West Indies,Pakistan,8 runs,Adelaide,5-Dec-81,Australia,Second,First
ODI # 127,Australia,Pakistan,Australia,38 runs,Adelaide,6-Dec-81,Australia,First,Second
ODI # 128,Australia,Pakistan,Pakistan,6 wickets,Sydney,17-Dec-81,Australia,First,Second
ODI # 129,Pakistan,West Indies,West Indies,7 wickets,Perth,19-Dec-81,Australia,First,Second
ODI # 130,Australia,West Indies,West Indies,8 wickets,Perth,20-Dec-81,Australia,First,Second
ODI # 131,India,England,India,6 wickets,Jalandhar,20-Dec-81,Australia,First,Second
ODI # 132,Australia,Pakistan,Pakistan,25 runs,Melbourne,9-Jan-82,Australia,First,Second
ODI # 133,Australia,West Indies,West Indies,5 wickets,Melbourne,10-Jan-82,Australia,Second,First
ODI # 134,Pakistan,West Indies,West Indies,7 wickets,Sydney,12-Jan-82,Australia,Second,First
ODI # 135,Australia,Pakistan,Australia,76 runs,Sydney,14-Jan-82,Australia,First,Second
ODI # 136,Pakistan,West Indies,West Indies,1 wicket,Brisbane,16-Jan-82,Australia,Second,First
ODI # 137,Australia,West Indies,West Indies,5 wickets,Brisbane,17-Jan-82,India,Second,First
ODI # 138,Australia,West Indies,Australia,5 runs,Sydney,19-Jan-82,New Zealand,First,Second
ODI # 139,Australia,West Indies,West Indies,86 runs,Melbourne,23-Jan-82,Sri Lanka,Second,First
ODI # 140,Australia,West Indies,West Indies,128 runs,Melbourne,24-Jan-82,Sri Lanka,First,Second
ODI # 141,Australia,West Indies,Australia,46 runs,Sydney,26-Jan-82,New Zealand,First,Second
ODI # 142,Australia,West Indies,West Indies,18 runs,Sydney,27-Jan-82,New Zealand,First,Second
ODI # 143,India,England,India,5 wickets,Cuttack,27-Jan-82,Pakistan,Second,First
ODI # 144,New Zealand,Australia,New Zealand,46 runs,Auckland,13-Feb-82,Pakistan,Second,First
ODI # 145,Sri Lanka,England,England,5 runs,Colombo (SSC),13-Feb-82,Pakistan,Second,First
ODI # 146,Sri Lanka,England,Sri Lanka,3 runs,Colombo (SSC),14-Feb-82,England,Second,First
ODI # 147,New Zealand,Australia,Australia,6 wickets,Dunedin,17-Feb-82,England,First,Second
ODI # 148,New Zealand,Australia,Australia,8 wickets,Wellington,20-Feb-82,England,Second,First
ODI # 149,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,12-Mar-82,England,First,Second
ODI # 150,Pakistan,Sri Lanka,Sri Lanka,30 runs,Lahore,29-Mar-82,India,First,Second
ODI # 151,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,31-Mar-82,India,Second,First
ODI # 152,England,India,England,9 wickets,Leeds,2-Jun-82,India,First,Second
ODI # 153,England,India,England,114 runs,The Oval,4-Jun-82,India,Second,First
ODI # 154,England,Pakistan,England,7 wickets,Nottingham,17-Jul-82,Pakistan,First,Second
ODI # 155,England,Pakistan,England,73 runs,Manchester,19-Jul-82,Pakistan,First,Second
ODI # 156,India,Sri Lanka,India,78 runs,Amritsar,12-Sep-82,Pakistan,First,Second
ODI # 157,India,Sri Lanka,India,6 wickets,Delhi,15-Sep-82,Pakistan,Second,First
ODI # 158,Pakistan,Australia,Pakistan,59 runs,Hyderabad (Sind),20-Sep-82,Australia,Second,First
ODI # 159,India,Sri Lanka,India,6 wickets,Bengaluru,26-Sep-82,Australia,First,Second
ODI # 160,Pakistan,Australia,Pakistan,28 runs,Lahore,8-Oct-82,Australia,Second,First
ODI # 161,Pakistan,Australia,no result,,Karachi,22-Oct-82,Australia,First,Second
ODI # 162,Pakistan,India,Pakistan,14 runs,Gujranwala,3-Dec-82,Australia,Second,First
ODI # 163,Pakistan,India,Pakistan,37 runs,Multan,17-Dec-82,Australia,Second,First
ODI # 164,Pakistan,India,India,18 runs,Lahore,31-Dec-82,Australia,Second,First
ODI # 165,Australia,New Zealand,Australia,8 wickets,Melbourne,9-Jan-83,Pakistan,Second,First
ODI # 166,Australia,England,Australia,31 runs,Sydney,11-Jan-83,Australia,Second,First
ODI # 167,England,New Zealand,New Zealand,2 runs,Melbourne,13-Jan-83,Australia,Second,First
ODI # 168,England,New Zealand,England,54 runs,Brisbane,15-Jan-83,Australia,Second,First
ODI # 169,Australia,England,Australia,7 wickets,Brisbane,16-Jan-83,Australia,First,Second
ODI # 170,Australia,New Zealand,New Zealand,47 runs,Sydney,18-Jan-83,Australia,Second,First
ODI # 171,England,New Zealand,England,8 wickets,Sydney,20-Jan-83,Australia,Second,First
ODI # 172,Pakistan,India,Pakistan,8 wickets,Karachi,21-Jan-83,Australia,First,Second
ODI # 173,Australia,New Zealand,New Zealand,58 runs,Melbourne,22-Jan-83,Australia,First,Second
ODI # 174,Australia,England,Australia,5 wickets,Melbourne,23-Jan-83,Australia,Second,First
ODI # 175,Australia,England,England,98 runs,Sydney,26-Jan-83,Australia,First,Second
ODI # 176,England,New Zealand,New Zealand,4 wickets,Adelaide,29-Jan-83,New Zealand,Second,First
ODI # 177,Australia,England,England,14 runs,Adelaide,30-Jan-83,New Zealand,First,Second
ODI # 178,Australia,New Zealand,New Zealand,47 runs,Adelaide,31-Jan-83,New Zealand,First,Second
ODI # 179,England,New Zealand,New Zealand,7 wickets,Perth,5-Feb-83,New Zealand,First,Second
ODI # 180,Australia,New Zealand,Australia,27 runs,Perth,6-Feb-83,West Indies,First,Second
ODI # 181,Australia,New Zealand,Australia,6 wickets,Sydney,9-Feb-83,Australia,Second,First
ODI # 182,Australia,New Zealand,Australia,149 runs,Melbourne,13-Feb-83,New Zealand,Second,First
ODI # 183,New Zealand,England,New Zealand,6 wickets,Auckland,19-Feb-83,New Zealand,First,Second
ODI # 184,New Zealand,England,New Zealand,103 runs,Wellington,23-Feb-83,West Indies,Second,First
ODI # 185,New Zealand,England,New Zealand,84 runs,Christchurch,26-Feb-83,West Indies,Second,First
ODI # 186,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin,2-Mar-83,Sri Lanka,Second,First
ODI # 187,West Indies,India,West Indies,52 runs,Port of Spain,9-Mar-83,Sri Lanka,Second,First
ODI # 188,Australia,New Zealand,New Zealand,14 runs,Sydney,17-Mar-83,England,First,Second
ODI # 189,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier,19-Mar-83,England,First,Second
ODI # 190,New Zealand,Sri Lanka,New Zealand,116 runs,Auckland,20-Mar-83,England,Second,First
ODI # 191,West Indies,India,India,27 runs,Albion,29-Mar-83,England,First,Second
ODI # 192,West Indies,India,West Indies,7 wickets,St George's,7-Apr-83,England,First,Second
ODI # 193,Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS),13-Apr-83,England,First,Second
ODI # 194,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),16-Apr-83,England,Second,First
ODI # 195,Sri Lanka,Australia,no result,,Colombo (SSC),29-Apr-83,England,Second,First
ODI # 196,Sri Lanka,Australia,no result,,Colombo (SSC),30-Apr-83,England,Second,First
ODI # 197,England,New Zealand,England,106 runs,The Oval,9-Jun-83,England,Second,First
ODI # 198,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,9-Jun-83,England,First,Second
ODI # 199,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,9-Jun-83,England,Second,First
ODI # 200,India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983",England,First,Second
ODI # 201,England,Sri Lanka,England,47 runs,Taunton,11-Jun-83,England,Second,First
ODI # 202,New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983",England,First,Second
ODI # 203,Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983",England,First,Second
ODI # 204,India,Zimbabwe,India,5 wickets,Leicester,11-Jun-83,England,Second,First
ODI # 205,England,Pakistan,England,8 wickets,Lord's,13-Jun-83,England,First,Second
ODI # 206,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,13-Jun-83,England,First,Second
ODI # 207,Australia,India,Australia,162 runs,Nottingham,13-Jun-83,England,First,Second
ODI # 208,West Indies,Zimbabwe,West Indies,8 wickets,Worcester,13-Jun-83,England,Second,First
ODI # 209,England,New Zealand,New Zealand,2 wickets,Birmingham,15-Jun-83,England,Second,First
ODI # 210,India,West Indies,West Indies,66 runs,The Oval,15-Jun-83,England,Second,First
ODI # 211,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,16-Jun-83,England,Second,First
ODI # 212,Australia,Zimbabwe,Australia,32 runs,Southampton,16-Jun-83,England,First,Second
ODI # 213,England,Pakistan,England,7 wickets,Manchester,18-Jun-83,England,First,Second
ODI # 214,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,18-Jun-83,England,First,Second
ODI # 215,Australia,West Indies,West Indies,7 wickets,Lord's,18-Jun-83,India,Second,First
ODI # 216,India,Zimbabwe,India,31 runs,Tunbridge Wells,18-Jun-83,India,Second,First
ODI # 217,England,Sri Lanka,England,9 wickets,Leeds,20-Jun-83,India,Second,First
ODI # 218,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,20-Jun-83,India,First,Second
ODI # 219,Australia,India,India,118 runs,Chelmsford,20-Jun-83,India,First,Second
ODI # 220,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,20-Jun-83,India,Second,First
ODI # 221,England,India,India,6 wickets,Manchester,22-Jun-83,India,First,Second
ODI # 222,Pakistan,West Indies,West Indies,8 wickets,The Oval,22-Jun-83,Australia,Second,First
ODI # 223,India,West Indies,India,43 runs,Lord's,25-Jun-83,Australia,First,Second
ODI # 224,India,Pakistan,India,4 wickets,Hyderabad (Deccan),10-Sep-83,Australia,First,Second
ODI # 225,India,Pakistan,India,4 wickets,Jaipur,2-Oct-83,Australia,First,Second
ODI # 226,India,West Indies,West Indies,28 runs,Srinagar,13-Oct-83,Australia,Second,First
ODI # 227,India,West Indies,West Indies,4 wickets,Vadodara,9-Nov-83,Australia,First,Second
ODI # 228,India,West Indies,West Indies,8 wickets,Indore,1-Dec-83,Australia,First,Second
ODI # 229,India,West Indies,West Indies,104 runs,Jamshedpur,7-Dec-83,Australia,Second,First
ODI # 230,India,West Indies,West Indies,6 wickets,Guwahati,17-Dec-83,Australia,First,Second
ODI # 231,Australia,West Indies,West Indies,27 runs,Melbourne,8-Jan-84,Australia,First,Second
ODI # 232,Australia,Pakistan,Australia,34 runs,Sydney,10-Jan-84,Australia,First,Second
ODI # 233,Pakistan,West Indies,Pakistan,97 runs,Melbourne,12-Jan-84,Australia,First,Second
ODI # 234,Pakistan,West Indies,West Indies,5 wickets,Brisbane,14-Jan-84,Australia,First,Second
ODI # 235,Australia,Pakistan,no result,,Brisbane,15-Jan-84,Australia,First,Second
ODI # 236,Australia,West Indies,West Indies,28 runs,Sydney,17-Jan-84,Australia,First,Second
ODI # 237,Pakistan,West Indies,West Indies,5 wickets,Sydney,19-Jan-84,Australia,First,Second
ODI # 238,Australia,Pakistan,Australia,43 runs,Melbourne,21-Jan-84,New Zealand,Second,First
ODI # 239,Australia,West Indies,West Indies,26 runs,Melbourne,22-Jan-84,New Zealand,First,Second
ODI # 240,Australia,Pakistan,Australia,87 runs,Sydney,25-Jan-84,New Zealand,Second,First
ODI # 241,Pakistan,West Indies,West Indies,1 wicket,Adelaide,28-Jan-84,West Indies,Second,First
ODI # 242,Australia,West Indies,West Indies,6 wickets,Adelaide,29-Jan-84,Sri Lanka,Second,First
ODI # 243,Australia,Pakistan,Australia,70 runs,Adelaide,30-Jan-84,Pakistan,Second,First
ODI # 244,Pakistan,West Indies,West Indies,7 wickets,Perth,4-Feb-84,West Indies,First,Second
ODI # 245,Australia,West Indies,Australia,14 runs,Perth,5-Feb-84,Pakistan,First,Second
ODI # 246,Australia,West Indies,West Indies,9 wickets,Sydney,8-Feb-84,Sri Lanka,First,Second
ODI # 247,Australia,West Indies,tied,,Melbourne,11-Feb-84,Sri Lanka,Second,First
ODI # 248,Australia,West Indies,West Indies,6 wickets,Melbourne,12-Feb-84,U.A.E.,First,Second
ODI # 249,New Zealand,England,England,54 runs,Christchurch,18-Feb-84,U.A.E.,Second,First
ODI # 250,New Zealand,England,England,6 wickets,Wellington,22-Feb-84,U.A.E.,First,Second
ODI # 251,New Zealand,England,New Zealand,7 wickets,Auckland,25-Feb-84,West Indies,Second,First
ODI # 252,West Indies,Australia,West Indies,8 wickets,Albion,29-Feb-84,West Indies,Second,First
ODI # 253,Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC),3-Mar-84,England,Second,First
ODI # 254,Pakistan,England,Pakistan,6 wickets,Lahore,9-Mar-84,England,Second,First
ODI # 255,West Indies,Australia,Australia,4 wickets,Port of Spain,14-Mar-84,England,First,Second
ODI # 256,Pakistan,England,England,6 wickets,Karachi,26-Mar-84,,Second,First
ODI # 257,Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa,31-Mar-84,India,First,Second
ODI # 258,Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS),1-Apr-84,India,First,Second
ODI # 259,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,6-Apr-84,Pakistan,First,Second
ODI # 260,India,Sri Lanka,India,10 wickets,Sharjah,8-Apr-84,Sri Lanka,Second,First
ODI # 261,India,Pakistan,India,54 runs,Sharjah,13-Apr-84,Sri Lanka,First,Second
ODI # 262,West Indies,Australia,West Indies,7 wickets,Castries,19-Apr-84,Pakistan,First,Second
ODI # 263,West Indies,Australia,West Indies,9 wickets,Kingston,26-Apr-84,Pakistan,First,Second
ODI # 264,England,West Indies,West Indies,104 runs,Manchester,31-May-84,Pakistan,Second,First
ODI # 265,England,West Indies,England,3 wickets,Nottingham,2-Jun-84,India,First,Second
ODI # 266,England,West Indies,West Indies,8 wickets,Lord's,4-Jun-84,Pakistan,Second,First
ODI # 267,India,Australia,Australia,48 runs,New Delhi,28-Sep-84,India,Second,First
ODI # 268,India,Australia,no result,,Thiruvananthapuram,1-Oct-84,Australia,First,Second
ODI # 269,India,Australia,no result,,Jamshedpur,3-Oct-84,Australia,Second,First
ODI # 270,India,Australia,Australia,7 wickets,Ahmedabad,5-Oct-84,Australia,First,Second
ODI # 271,India,Australia,Australia,6 wickets,Indore,6-Oct-84,New Zealand,First,Second
ODI # 272,Pakistan,India,Pakistan,46 runs,Quetta,12-Oct-84,Australia,Second,First
ODI # 273,Pakistan,India,no result,,Sialkot,31-Oct-84,Australia,First,Second
ODI # 274,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS),3-Nov-84,New Zealand,Second,First
ODI # 275,Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa,4-Nov-84,Australia,First,Second
ODI # 276,Pakistan,New Zealand,Pakistan,46 runs,Peshawar,12-Nov-84,Australia,Second,First
ODI # 277,Pakistan,New Zealand,Pakistan,5 runs,Faisalabad,23-Nov-84,Australia,First,Second
ODI # 278,Pakistan,New Zealand,New Zealand,34 runs,Sialkot,2-Dec-84,Australia,Second,First
ODI # 279,India,England,England,4 wickets,Pune,5-Dec-84,India,First,Second
ODI # 280,Pakistan,New Zealand,Pakistan,1 wicket,Multan,7-Dec-84,Australia,Second,First
ODI # 281,India,England,England,1 run,Cuttack,27-Dec-84,India,Second,First
ODI # 282,Australia,West Indies,West Indies,7 wickets,Melbourne,6-Jan-85,Australia,First,Second
ODI # 283,Australia,Sri Lanka,Australia,6 wickets,Sydney,8-Jan-85,Australia,First,Second
ODI # 284,Sri Lanka,West Indies,West Indies,8 wickets,Hobart,10-Jan-85,India,Second,First
ODI # 285,New Zealand,Pakistan,New Zealand,110 runs,Napier,12-Jan-85,Australia,First,Second
ODI # 286,Sri Lanka,West Indies,West Indies,90 runs,Brisbane,12-Jan-85,Australia,Second,First
ODI # 287,Australia,West Indies,West Indies,5 wickets,Brisbane,13-Jan-85,Australia,Second,First
ODI # 288,New Zealand,Pakistan,New Zealand,4 wickets,Hamilton,15-Jan-85,New Zealand,First,Second
ODI # 289,Australia,West Indies,West Indies,5 wickets,Sydney,15-Jan-85,Australia,First,Second
